timestamp,duration,root_cause_node,experiment_type
1730453409,3m,ts-contacts-service-6b9f8dcd78-m68rp,CPU-contention
1730454141,3m,ts-contacts-service-6b9f8dcd78-m68rp,pod-network-delay
1730454873,3m,ts-contacts-service-6b9f8dcd78-m68rp,io-contention
1730455602,3m,ts-contacts-service-6b9f8dcd78-m68rp,pod-network-loss
1730456331,3m,ts-contacts-service-6b9f8dcd78-m68rp,memory-stress
1730457062,3m,ts-basic-service-5958769c99-mj82d,CPU-contention
1730457791,3m,ts-basic-service-5958769c99-mj82d,pod-network-delay
1730458519,3m,ts-basic-service-5958769c99-mj82d,io-contention
1730459247,3m,ts-basic-service-5958769c99-mj82d,pod-network-loss
1730459975,3m,ts-basic-service-5958769c99-mj82d,memory-stress
1730460705,3m,ts-payment-service-6df559d8fd-4wzhd,CPU-contention
1730461436,3m,ts-payment-service-6df559d8fd-4wzhd,pod-network-delay
1730462164,3m,ts-payment-service-6df559d8fd-4wzhd,io-contention
1730462894,3m,ts-payment-service-6df559d8fd-4wzhd,pod-network-loss
1730463624,3m,ts-payment-service-6df559d8fd-4wzhd,memory-stress
1730464351,3m,ts-travel-service-d9d887cd9-cplqf,CPU-contention
1730465080,3m,ts-travel-service-d9d887cd9-cplqf,pod-network-delay
1730465809,3m,ts-travel-service-d9d887cd9-cplqf,io-contention
1730466537,3m,ts-travel-service-d9d887cd9-cplqf,pod-network-loss
1730467265,3m,ts-travel-service-d9d887cd9-cplqf,memory-stress
1730467994,3m,ts-travel2-service-749b4bf999-qhltz,CPU-contention
1730468723,3m,ts-travel2-service-749b4bf999-qhltz,pod-network-delay
1730469452,3m,ts-travel2-service-749b4bf999-qhltz,io-contention
1730470180,3m,ts-travel2-service-749b4bf999-qhltz,pod-network-loss
1730470909,3m,ts-travel2-service-749b4bf999-qhltz,memory-stress
1730474663,3m,ts-food-map-service-66c85b59b-brmrf,CPU-contention
1730475393,3m,ts-food-map-service-66c85b59b-brmrf,pod-network-delay
1730476125,3m,ts-food-map-service-66c85b59b-brmrf,io-contention
1730476855,3m,ts-food-map-service-66c85b59b-brmrf,pod-network-loss
1730477584,3m,ts-food-map-service-66c85b59b-brmrf,memory-stress
1730478313,3m,ts-route-service-5dd59946b-c4qxz,CPU-contention
1730479042,3m,ts-route-service-5dd59946b-c4qxz,pod-network-delay
1730479772,3m,ts-route-service-5dd59946b-c4qxz,io-contention
1730480501,3m,ts-route-service-5dd59946b-c4qxz,pod-network-loss
1730481229,3m,ts-route-service-5dd59946b-c4qxz,memory-stress
1730485714,3m,ts-preserve-service-56576b74bf-r682r,pod-network-delay
1730486443,3m,ts-preserve-service-56576b74bf-r682r,io-contention
1730487900,3m,ts-preserve-service-56576b74bf-r682r,memory-stress
1730529190,3m,ts-order-service-86b84f56b5-kcmcd,CPU-contention
1730529921,3m,ts-order-service-86b84f56b5-kcmcd,pod-network-delay
1730530652,3m,ts-order-service-86b84f56b5-kcmcd,io-contention
1730531380,3m,ts-order-service-86b84f56b5-kcmcd,pod-network-loss
1730532109,3m,ts-order-service-86b84f56b5-kcmcd,memory-stress
1730532837,3m,ts-station-service-588d557995-4qk9q,CPU-contention
1730533566,3m,ts-station-service-588d557995-4qk9q,pod-network-delay
1730534294,3m,ts-station-service-588d557995-4qk9q,io-contention
1730535023,3m,ts-station-service-588d557995-4qk9q,pod-network-loss
1730535752,3m,ts-station-service-588d557995-4qk9q,memory-stress
1730536482,3m,ts-contacts-service-6b9f8dcd78-m68rp,CPU-contention
1730537211,3m,ts-contacts-service-6b9f8dcd78-m68rp,pod-network-delay
1730537941,3m,ts-contacts-service-6b9f8dcd78-m68rp,io-contention
1730538672,3m,ts-contacts-service-6b9f8dcd78-m68rp,pod-network-loss
1730539401,3m,ts-contacts-service-6b9f8dcd78-m68rp,memory-stress
1730540131,3m,ts-basic-service-5958769c99-mj82d,CPU-contention
1730540859,3m,ts-basic-service-5958769c99-mj82d,pod-network-delay
1730541588,3m,ts-basic-service-5958769c99-mj82d,io-contention
1730542316,3m,ts-basic-service-5958769c99-mj82d,pod-network-loss
